commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
04652dc2ac6024b507e695858a7e1ce7026f1075,696,0,0,0,38,658,"[295, 78, 22, 502, 703]"
049c1528e259141e97139b156aafe095882e5ee4,766,0,0,0,46,720,"[295, 78, 22, 502, 703]"
062a061895c0b7f32affd404dac28dffd98eea76,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
07294313abf6e4ea7dded5c471e88bb1c9ea5648,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
08039971c72791ed3bb80f463c37ce1f38fab21b,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
0acd3915dfe2b5ea043af9d50cc6b26b67157b0e,814,0,0,0,46,768,"[295, 78, 22, 502, 703]"
13e022b4c57459bf390846293e59b145f3233d64,828,0,0,0,48,780,"[295, 78, 22, 502, 703]"
140d25032f0229ed6d4420beb19f6f42d99c7fa8,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
14be2aebb950fd61ae425f7ebcd8515ab036d863,696,0,0,0,38,658,"[295, 78, 22, 502, 703]"
153d5fc61b10e443a603c2839e2003c7767ed52a,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
1555d3a3d1482c745a34126b2d2e66ae50bf3a79,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
19168ef34ee790fd5b02aa444bc7793cacaa515e,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
19d1a4ed94d86ecdeb8fe822cf3cd5b86adaa56e,696,0,0,0,38,658,"[295, 78, 22, 502, 703]"
1e6e3b52739849aabf583565aa9c8f228fed900f,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
2131fd43f5e5b2cc8991538e1593d4924fbacfb8,744,0,0,0,46,698,"[295, 78, 22, 502, 703]"
21e72694200005e322acbf94cf16c7bb235137d5,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
26b4331d145e3cf5d69d4d56c6aff6eb66ef47e0,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
2895b4f9b0cd94092361a3cd765a9d1a53e5569c,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
28c2df7c71156fff62f3bd81712de1f884dbf10d,814,0,0,0,46,768,"[295, 78, 22, 502, 703]"
2a91ab8b4fa50213bfeed87a8b0729e50187c0a7,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
2bef10a35082ea578eec70a64a1f234fe301f7c1,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
2da3ef65141cf54dca5e8dbc20299c14c6af68f7,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
2f0270d57fe946caabaae9f219395716df5416e7,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
36fcb4bb3e4282976e172f8ea466220a8636b57a,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
38481bf8895c441ab86c6b15714b71e6283fd674,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
3db1754d5b915df46de9cf4bff53c84745a44c4c,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
3dfa3313c8b789e4722d361d89818d8c5604f43f,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
40c0ec867439a4653d08321cdd5dd029f4d7a159,696,0,0,0,38,658,"[295, 78, 22, 502, 703]"
4529c8b3d64dcc8c4500b7624730033e931c68bd,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
45b1080867879c1acbbc33b5a03b63860bc28a15,746,0,0,0,46,700,"[295, 78, 22, 502, 703]"
47aa3566bcc49bfa2f884547b4552886167706eb,744,0,0,0,46,698,"[295, 78, 22, 502, 703]"
51bcbf9d219bb93fdcad069278be0f947a631f96,832,0,0,0,48,784,"[295, 78, 22, 502, 703]"
56005186ea8c2dff0391d3a0b2e989e108bd7019,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
57a71e26930a8dbc45fdeb8ee5bffff7d7e017a9,848,0,0,0,52,796,"[295, 78, 22, 502, 703]"
5a7332fcf87d9f02e2ac7aedeffbec5d072f484f,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
5d6e60d4854672c93320dc838222effeb66045ac,636,0,0,0,38,598,"[295, 78, 22, 502, 703]"
5f0496c29be9c10af99fd6262a6ed406a4c944b7,750,0,0,0,46,704,"[295, 78, 22, 502, 703]"
5f18e0de004ec9cb122cb4bacb9538814cf87042,846,0,0,0,50,796,"[295, 78, 22, 502, 703]"
