commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
003d5a6e4d0563b7a395a9f9a8923a49cbed97bd,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
028797c108f282c77c267cb9e6f5cd8a90d26c0d,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
03a8e17f24853eafabc00c76b6e545b658403bfa,4942,392,380,414,848,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
049efa2d0c4ece668be2851ae7815875c13f2b43,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
07e3dcf02edd0622dd15c221c3c6c3a0b35edb6a,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
0823cb6227ab670ea2c913fc4bc10b6deecb44c2,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
09111a9e6c1ffd3e92fa946f3a288bffbb179dcc,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
0b16e2b1972baf1d59177dacfa52de2784e0284f,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
0b7c5550e3dd98008fa63151f7d1e30f939ede85,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
0cba06a14026680796ca4ee18090dbb86ae8929b,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
12ea4820338185a3c4b7bda956840eb2064eeafe,622,26,206,320,246,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
14aadcd01b0587eadf9febc868b52475c00ba608,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
16ea357e86b834b05b5ee4a10506125661d68b6c,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
19f74bea8bc90ed28d8132701ae7fa7209681834,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
1a711c088c1af6664f6056a1c1702c421f59a0e0,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
1b99b5e212653de0abf385d44a3a95f0ff6cbe5e,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
1ca26ee00238c936cadfdc95f7076cd8fc4199e9,4942,392,380,414,848,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
1d26ab888294396af73fd5df819e4f8a1a266c36,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
21257e6c80f9584ebce6facfae93e285acb05f74,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
21c757e9f266ca9ad3f305bbfb3f79c831b6364b,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
24277446c56319f36db45c1502fb858f5104b7a8,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
26de43748e95b37184994608b694c356480b447f,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
31afd9f8021bdbe30f90dda913f152a5329f1a6b,4966,480,390,410,946,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
32b9723f7ac1050cab7e3b0c40a294ec1ae78697,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
373a50bc6f714beca4dbb9b3a9464e13f0f59775,4968,480,390,406,948,4484,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
37fb9598302a609345b913a9b2592e80fdcac1cc,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
38794c341be965595a7d9c030ab239caa2896870,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
3a16c0d586ec691a333cee92cf3504f8f1e4e5ba,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
3b2850a12c04ed4e5a13d222eb782aa6462f1c20,4942,392,380,414,848,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
3b6948abee2a402de29ca016a12cefa13cb65079,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
4086d9f9d2593128ff4a6f68c9377afd87f9f992,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
4098187c28236b0b72b6b8102992e259d280dbc9,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
4307c398698d96fb1f5ec16543cb7aa965915665,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
43d28fabf5c32f520027d0d18241c46b3180d334,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
440513a382aae59652d31740d839dcb4cbeaa759,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
4819c2deda915146cf0bef460ea3bd636eccc1d7,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
4e697ed4146ae7328bb11d46bba6b3d487a35f15,4972,480,392,416,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
5044bfb3aee5cf08a41b52cafda8b9ee09756dd8,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
53143f3785df6ba2101354ec638315af9b0e9f93,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
53dd826e6e21a5d29520a3f9acda16b0f8594546,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
55f171ec7685a97648f8d2777ab3bcab35deb141,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
564b203257d6493060a8e3d17e442bd272400d01,4966,480,390,410,946,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
5a87330f3d49109264f08846fa0b69bd555c5c00,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
5b0eae965e4f818f0ad4b55991ae867f779ec343,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
5c2e6382b4068dca08fb74a20990b83359128f91,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
5f477774df72f35c09b8e14b0be036bd0011c681,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
5fa29258b10df42984330c9277b6a68f87c9d989,4504,476,290,164,832,4274,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
60dae5f0f6c0dbf25816d5385abb231ac2756efe,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
62fe59ac60f0ff894505d3a8e041d5f018d6c9a8,4966,480,390,410,946,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
64343d66c532724d6d41ed6d036ee812795bcf5e,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
68d3e6e6bf4b21fb1721d4061c165e755cf9bf13,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
72255257d7ec229928d7994be92ac8260bc714b5,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
72393cf32fcd21dbd64cd2b6c588ce86d1d0fa7b,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
7832cff30255fe3475b33155f59acafeca45db64,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
7a14631370cc35a7d138432554ad132ad902b211,4968,480,390,410,948,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
7ef5ab78e78d42c4bd8cd81f198202ac07d89c07,4942,392,378,414,846,4452,"[259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
7f1bbf2357e0e2336f976fa48f7b33bb452e1091,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
801f96525814aa862f5d17b92037fc9dd50233ad,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
8360e3edd6f0fa2aba036f3b3c0ee5ba9dfc8d4d,624,26,208,322,248,288,"[259, 319, 327, 295, 377, 330, 78, 400, 22, 89, 155, 605, 703]"
866612483454ba19e1beea2af194dda580a5a684,4972,480,394,416,950,4480,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
8cde9563421e3c5b087b576e9c2c5b78e3bc7026,5128,480,390,408,948,4642,"[89, 259, 319, 327, 295, 330, 78, 400, 20, 502, 22, 377, 155, 732, 605, 703]"
