commit,high_confidence,medium_confidence,low_confidence,high_severity,medium_severity,low_severity,unique_cwes
003fe76d429b4b069aa324838184f4998af3a6b7,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
0677976d9293327b5b366109832d957c4a3f266d,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
072e3d8bf62adf98affb889fe56cc9690db3f674,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
08b583d02a7fc27859bd98ad77713e42e971006f,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
0a0105cb0074865e9d81ac9cfcc5b17459041e6a,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
0b0de0b14a7eb8cef72313b8de565772aca57f98,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
0d9071e9168033d4bbd8c53ba0f3acb312afc288,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
0f620e6cbe0da7bff397634c4ee30db542b4dd94,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
15c46fa844674fcd133d57f73a5e9a3febc25e93,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
15c4914a34f338a773e2f82cbb2fe76b6e0677ab,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
17429771199789f7ae5c4a2f1db9e366ee9ccbad,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
19cf611537979dfa991a9e1ae27fa82ecbb85078,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
1a77e5b67ef1eeeade9ba093409bc2b99aa76557,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
1e8d0b5621b51f4c8790dec86a74822717b84cd8,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
21b153a0234ac4d9845be5ac5f1fb041685efde1,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
22e821891027d83e73a3491d97402f7b24397a66,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
246d36df5cd931cd2f147d1b8650ab68f2ddade9,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
27c0ff294ebac9198675bc26fced2d277bcd7cec,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
2873e75012e09de66f5c8ca2e94d27de130cbcad,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
28a8207bc62b633c53340c66a04eac7c8f33ab44,340,2,0,0,6,336,"[330, 78, 22, 605, 703]"
29204177fde230fb363875caaf1ade12a82dd6be,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
29fbd722901d8ffd688048031bf026644a8260c1,340,2,0,0,6,336,"[330, 78, 22, 605, 703]"
2af68cfceb403f0f71c9e49c9d14057069956188,336,2,0,0,6,332,"[330, 78, 22, 605, 703]"
